reporting_month,psp,line_seq,line_item,usd,is_subtotal
2026-06-01,adyen,1,backend_booked,32912.09,false
2026-06-01,adyen,2,backend_fx_faults,0.03,false
2026-06-01,adyen,3,backend_restated,32912.12,true
2026-06-01,adyen,4,provider_variance,-115.98,false
2026-06-01,adyen,5,provider_gross,32796.14,true
2026-06-01,adyen,6,provider_fees,-829.42,false
2026-06-01,adyen,7,net_receipts,31966.72,true
2026-06-01,dlocal,1,backend_booked,215642.53,false
2026-06-01,dlocal,2,backend_fx_faults,-200678.97,false
2026-06-01,dlocal,3,backend_restated,14963.56,true
2026-06-01,dlocal,4,provider_variance,-14.11,false
2026-06-01,dlocal,5,provider_gross,14949.45,true
2026-06-01,dlocal,6,provider_fees,-751.25,false
2026-06-01,dlocal,7,net_receipts,14198.20,true
2026-06-01,google_play,1,backend_booked,14744.63,false
2026-06-01,google_play,2,backend_fx_faults,0.00,false
2026-06-01,google_play,3,backend_restated,14744.63,true
2026-06-01,google_play,4,provider_variance,0.00,false
2026-06-01,google_play,5,provider_gross,14744.63,true
2026-06-01,google_play,6,provider_fees,-2249.20,false
2026-06-01,google_play,7,net_receipts,12495.43,true
2026-06-01,paypal_eu,1,backend_booked,36323.01,false
2026-06-01,paypal_eu,2,backend_fx_faults,-0.56,false
2026-06-01,paypal_eu,3,backend_restated,36322.45,true
2026-06-01,paypal_eu,4,provider_variance,-92.35,false
2026-06-01,paypal_eu,5,provider_gross,36230.10,true
2026-06-01,paypal_eu,6,provider_fees,-1700.50,false
2026-06-01,paypal_eu,7,net_receipts,34529.60,true
2026-06-01,paypal_us,1,backend_booked,36046.31,false
2026-06-01,paypal_us,2,backend_fx_faults,0.00,false
2026-06-01,paypal_us,3,backend_restated,36046.31,true
2026-06-01,paypal_us,4,provider_variance,34.98,false
2026-06-01,paypal_us,5,provider_gross,36081.29,true
2026-06-01,paypal_us,6,provider_fees,-2208.46,false
2026-06-01,paypal_us,7,net_receipts,33872.83,true
